text,category,urgency
coxhelp lookong forward binge strangerthingsseason hope internet lot outages neighborhood lately,Delivery,Medium
sprintcare worst customer service,General,High
askebay kindly check message needful worst service,General,High
airasiasupport hi yana dont dms mean email,General,Low
tmobilehelp httpstcotznfggbxy,General,Low
askpaypal serious problem need help,Technical,High
askebay kindly check message needful worst service,General,High
adobecare ok,General,Low
next day turnaround outage issue coxhelp csfail comes dealing outages csfail outageprobs,Technical,Medium
chipotletweets messed today didnt give burrito although dressed,General,Low
askebay would appreciate got refund previous damaged product ebay timelines delivery,Billing,Low
southwestair yup errors even turned ad blocker,Technical,Medium
askebay im looking refund check account would condemn service worst packing,Billing,High
askpaypal serious problem need help,Technical,High
askpaypal serious problem need help,Technical,High
excellent halloweening marksandspencer countcolin halloween food httpstcolqcsoohdj,General,Low
amazonhelp delivery paid todaydidnt arrivewhy noti paid enough itwhere itim unhappyrefund delivery charge,Billing,Low
askspectrum happy discuss problem dm thru link sent,Technical,Medium
seems like problem resolved technicians sent house capable surpassed expectations,Technical,Medium
worst isp ive ever,General,High
tmobilehelp ok maybe problem let try resizing,Technical,Medium
askpaypal serious problem need help,Technical,High
americanair could someone lax team available guide gate asap,General,High
airasiasupport refunding trip bali volcano eruption urgently refund,Billing,High
virgintrains always supposedly acceptable reason yes get one uses trains every week spends lot money late regularly acceptable,Billing,Medium
americanair could someone lax team available guide gate asap,General,High
seems like problem resolved technicians sent house capable surpassed expectations,Technical,Medium
southwestair im super excited get try entire trip least time know ill best time due yall,General,Low
spotifycares ok thx,General,Low
delta seems technical issue still hasnt ben fixed look,Technical,Medium
im sorry going cost transfer aa advantage points spouse americanair ridiculous,General,Low
askplaystation sure cc acct incorrect date renewal ps failed correct,Technical,Medium
southwestair yup errors even turned ad blocker,Technical,Medium
anna inspired idea lab school package shipped narnia amazon go anywhere according anna httpstcotyvkhuusu,General,Low
virgintrains enroute preston euston wait,General,Low
amazonhelp different people given different answers still dont order says delivered saturday home day,General,Low
spotifycares premium amp shuffle turns song done plays order repeat lights doesnt repeat,General,Low
amazonhelp already contacted times last month got assurance matter escalated amp new status provided day,Delivery,Medium
askebay kindly check message needful worst service,General,High
applesupport okey thank,General,Low
airasiasupport refunding trip bali volcano eruption urgently refund,Billing,High
amazonhelp,General,Low
airasiasupport refunding trip bali volcano eruption urgently refund,Billing,High
worst isp ive ever,General,High
askebay kindly check message needful worst service,General,High
askamex ive asked sales rep payments wasnt ready listen issues,Billing,Medium
delta seems technical issue still hasnt ben fixed look,Technical,Medium
adobecare guys saying weeks product went great unable work terrible disappointed,General,Medium
really hadthe worst experience ever start finish southwestair never fly internationally,General,High
americanair could someone lax team available guide gate asap,General,High
cant connect interactive broker canada yahoo finance app ios suggestions,General,Low
askamex ive asked sales rep payments wasnt ready listen issues,Billing,Medium
virgintrains always supposedly acceptable reason yes get one uses trains every week spends lot money late regularly acceptable,Billing,Medium
package accidentally opened items missing worth need better delivery drivers httpstcofsavbsmqm,Delivery,Low
worst isp ive ever,General,High
delta wasnt earlier flight offered tried rebook cool happened look moniter deplaning,General,Low
amazonhelp order local courier last days still hasnt delivered week late,Delivery,Medium
britishairways update sophie thanks,General,Low
worst isp ive ever,General,High
askamex thought amex values customers boy got really bad reps customer service,General,Low
amazonhelp already contacted times last month got assurance matter escalated amp new status provided day,Delivery,Medium
hpsupport laserjet pro mw print drivers install windows finds printer get error hpcswus hpprnt,Technical,Medium
tmobilehelp trying redeem free tuesday code letting telling theres error get help,Technical,Medium
worst isp ive ever,General,High
delta,General,Low
southwestair guys amazing seriously thank bottom heart,General,High
askebay im looking refund check account would condemn service worst packing,Billing,High
askebay kindly check message needful worst service,General,High
bought echo show wont recognize single amazonhelp account household wtf guys,Account,Low
askpaypal serious problem need help,Technical,High
americanair could someone lax team available guide gate asap,General,High
airasiasupport refunding trip bali volcano eruption urgently refund,Billing,High
change work dropbox account back personal account tested trial version want account personal,Account,Low
amazonhelp already contacted times last month got assurance matter escalated amp new status provided day,Delivery,Medium
askplaystation sure cc acct incorrect date renewal ps failed correct,Technical,Medium
amazonhelp already contacted times last month got assurance matter escalated amp new status provided day,Delivery,Medium
xboxsupport app xboxes working error code done power cycle still please fix app,Technical,Medium
askpaypal serious problem need help,Technical,High
ive ups downs banking chase lately theyve really good shoutout,Delivery,Medium
change password turn twostep verification else may receive paypal receipt van reversing camera random delivery address walthamstow,Account,Low
hey applesupport anyone else upgraded ios yall issues capital mail app puts,Technical,Medium
xboxsupport app xboxes working error code done power cycle still please fix app,Technical,Medium
heading london tonight days exciting stuff americanair get drinks ready coming aboard jb,General,Low
chipotletweets thank chipotletweets resolving issue quickly yall best fanforlife,Technical,Medium
seems like problem resolved technicians sent house capable surpassed expectations,Technical,Medium
sprintcare worst customer service,General,High
verizonsupport yep,General,Low
southwestair guys amazing seriously thank bottom heart,General,High
virgintrains least third time year miss meeting especially took train first place often late refund doesnt qualify next season car,Billing,Medium
askspectrum would like email copy one since spectrum updating training,General,Low
airasiasupport refunding trip bali volcano eruption urgently refund,Billing,High
save big bestselling phones amp get free upgrades phone consecutive ontime payments httpstcoyvxtlnllz,Billing,Low
worst isp ive ever,General,High
virgintrains least third time year miss meeting especially took train first place often late refund doesnt qualify next season car,Billing,Medium
coxhelp lookong forward binge strangerthingsseason hope internet lot outages neighborhood lately,Delivery,Medium
sprintcare worst customer service,General,High
worst isp ive ever,General,High
amazonhelp since stop giving videogame preorders amazon prime members im confused,General,Low
xboxsupport someone knows xbox one x ships let us know lol shouldnt b mystery,General,Low
askpaypal serious problem need help,Technical,High
hello internet someone explain symbol keeps appearing phone try type letter also applesupport httpstcoqkwvtltin,General,Low
ive ups downs banking chase lately theyve really good shoutout,Delivery,Medium
askebay im looking refund check account would condemn service worst packing,Billing,High
southwestair guys amazing seriously thank bottom heart,General,High
seems like problem resolved technicians sent house capable surpassed expectations,Technical,Medium
adobecare nope still,General,Low
askplaystation games buttons work solutions,General,Low
think first time since birth havent gone chipotletweets halloween annual boorito,General,Low
askebay need contact customer service directly please dm contact email customer service,General,Low
askebay im looking refund check account would condemn service worst packing,Billing,High
askplaystation sure cc acct incorrect date renewal ps failed correct,Technical,Medium
britishairways made two bookings received confirmation email one flights little help,General,Low
